Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
AAPL231208C00050000,2023-12-06 3:54PM EST,50.0,142.2,144.85,145.05,0.0,-,-,19,"1,046.88%",Call,"December 8, 2023"
AAPL231208C00060000,2023-12-05 3:54PM EST,60.0,133.1,134.85,135.0,0.0,-,-,8,884.38%,Call,"December 8, 2023"
AAPL231208C00065000,2023-12-06 1:20PM EST,65.0,128.9,129.85,130.0,1.0,+0.78%,1,18,826.56%,Call,"December 8, 2023"
AAPL231208C00095000,2023-12-06 9:35AM EST,95.0,98.5,99.85,100.1,0.0,-,1,2,586.72%,Call,"December 8, 2023"
AAPL231208C00100000,2023-12-07 3:46PM EST,100.0,94.1,94.8,95.05,0.0,-,7,21,517.19%,Call,"December 8, 2023"
AAPL231208C00120000,2023-12-05 10:03AM EST,120.0,73.98,74.75,74.95,0.0,-,-,1,312.50%,Call,"December 8, 2023"
AAPL231208C00125000,2023-12-07 3:47PM EST,125.0,69.11,69.85,70.1,0.0,-,2,0,378.91%,Call,"December 8, 2023"
AAPL231208C00130000,2023-12-01 2:49PM EST,130.0,61.15,64.7,64.95,0.0,-,57,57,339.06%,Call,"December 8, 2023"
AAPL231208C00135000,2023-12-07 2:15PM EST,135.0,59.22,59.85,60.1,0.0,-,3,2,319.53%,Call,"December 8, 2023"
AAPL231208C00140000,2023-12-05 1:21PM EST,140.0,53.47,54.8,55.15,0.0,-,2,4,291.41%,Call,"December 8, 2023"
AAPL231208C00145000,2023-12-07 9:52AM EST,145.0,49.05,49.75,50.0,0.0,-,2,140,221.88%,Call,"December 8, 2023"
AAPL231208C00150000,2023-12-07 9:31AM EST,150.0,44.1,44.75,45.0,0.0,-,2,55,199.22%,Call,"December 8, 2023"
AAPL231208C00152500,2023-12-06 2:39PM EST,152.5,40.52,42.35,42.6,0.0,-,-,1,224.22%,Call,"December 8, 2023"
AAPL231208C00155000,2023-12-07 3:21PM EST,155.0,39.33,39.8,40.05,0.0,-,20,62,197.66%,Call,"December 8, 2023"
