Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
AMZN231208C00070000,2023-12-08 10:14AM EST,70.0,76.85,76.6,76.75,0.6,+0.79%,7,32,570.31%,Call,"December 8, 2023"
AMZN231208C00075000,2023-12-06 3:24PM EST,75.0,71.15,71.55,71.7,1.3,+1.86%,4,32,446.88%,Call,"December 8, 2023"
AMZN231208C00080000,2023-12-08 10:00AM EST,80.0,66.15,66.6,66.75,-1.0,-1.49%,6,6,475.00%,Call,"December 8, 2023"
AMZN231208C00085000,2023-12-07 11:48AM EST,85.0,62.05,61.5,61.75,0.0,-,12,0,368.75%,Call,"December 8, 2023"
AMZN231208C00090000,2023-12-07 1:47PM EST,90.0,57.2,56.5,56.8,0.0,-,40,13,368.75%,Call,"December 8, 2023"
AMZN231208C00095000,2023-12-06 10:12AM EST,95.0,51.25,51.5,51.8,0.0,-,4,2,331.25%,Call,"December 8, 2023"
AMZN231208C00100000,2023-12-08 10:50AM EST,100.0,46.53,46.3,46.85,-0.67,-1.42%,3,89,377.34%,Call,"December 8, 2023"
AMZN231208C00105000,2023-12-06 9:38AM EST,105.0,40.7,41.45,41.95,-1.0,-2.40%,1,6,289.06%,Call,"December 8, 2023"
AMZN231208C00107000,2023-12-06 11:32AM EST,107.0,38.35,39.6,40.1,0.0,-,4,4,319.14%,Call,"December 8, 2023"
AMZN231208C00108000,2023-11-10 3:59PM EST,108.0,36.12,38.35,38.8,0.0,-,11,7,299.22%,Call,"December 8, 2023"
AMZN231208C00109000,2023-11-02 9:49AM EST,109.0,29.07,37.75,38.35,0.0,-,1,0,339.06%,Call,"December 8, 2023"
AMZN231208C00110000,2023-12-08 10:35AM EST,110.0,36.5,36.4,36.75,0.37,+1.02%,2,43,270.31%,Call,"December 8, 2023"
AMZN231208C00111000,2023-12-07 3:16PM EST,111.0,35.76,35.5,35.95,0.0,-,4,3,255.08%,Call,"December 8, 2023"
AMZN231208C00112000,2023-12-04 12:16PM EST,112.0,33.05,34.45,34.75,0.0,-,3,3,255.47%,Call,"December 8, 2023"
AMZN231208C00113000,2023-10-30 10:57AM EST,113.0,20.3,33.25,33.65,0.0,-,2,0,208.59%,Call,"December 8, 2023"
AMZN231208C00114000,2023-12-07 3:19PM EST,114.0,32.73,32.45,32.65,0.0,-,1,21,202.34%,Call,"December 8, 2023"
AMZN231208C00115000,2023-12-08 9:30AM EST,115.0,30.75,31.35,31.75,-1.03,-3.24%,2,131,233.59%,Call,"December 8, 2023"
AMZN231208C00116000,2023-12-07 10:09AM EST,116.0,30.43,30.35,30.85,0.14,+0.46%,70,77,248.05%,Call,"December 8, 2023"
AMZN231208C00117000,2023-12-06 3:46PM EST,117.0,27.76,29.5,29.7,0.0,-,3,15,204.69%,Call,"December 8, 2023"
AMZN231208C00118000,2023-12-06 10:39AM EST,118.0,27.67,28.4,28.6,0.0,-,5,24,0.00%,Call,"December 8, 2023"
AMZN231208C00119000,2023-12-08 10:13AM EST,119.0,27.78,27.45,27.65,0.23,+0.83%,1,26,171.09%,Call,"December 8, 2023"
AMZN231208C00120000,2023-12-08 9:40AM EST,120.0,26.0,26.4,26.75,-0.92,-3.42%,5,50,198.05%,Call,"December 8, 2023"
AMZN231208C00121000,2023-12-06 3:50PM EST,121.0,23.7,25.45,25.9,0.0,-,4,33,169.53%,Call,"December 8, 2023"
AMZN231208C00122000,2023-12-08 9:33AM EST,122.0,23.77,24.55,24.75,1.02,+4.48%,1,228,153.13%,Call,"December 8, 2023"
AMZN231208C00123000,2023-12-08 10:25AM EST,123.0,23.8,23.4,23.55,0.38,+1.62%,23,13,0.00%,Call,"December 8, 2023"
AMZN231208C00124000,2023-12-06 10:27AM EST,124.0,22.65,22.55,22.75,1.3,+6.09%,1,42,140.63%,Call,"December 8, 2023"
AMZN231208C00125000,2023-12-08 10:42AM EST,125.0,21.2,21.5,21.65,-0.45,-2.08%,45,145,135.16%,Call,"December 8, 2023"
AMZN231208C00126000,2023-12-08 10:25AM EST,126.0,20.8,20.45,20.65,0.07,+0.34%,7,85,128.91%,Call,"December 8, 2023"
AMZN231208C00127000,2023-12-08 9:45AM EST,127.0,19.5,19.55,19.7,0.07,+0.36%,6,47,109.38%,Call,"December 8, 2023"
AMZN231208C00128000,2023-12-07 3:36PM EST,128.0,18.47,18.45,18.65,0.0,-,7,134,117.19%,Call,"December 8, 2023"
AMZN231208C00129000,2023-12-07 2:24PM EST,129.0,18.02,17.55,17.75,-0.18,-0.99%,4,136,111.72%,Call,"December 8, 2023"
AMZN231208C00130000,2023-12-08 10:38AM EST,130.0,16.2,16.55,16.75,-0.85,-4.99%,19,211,105.47%,Call,"December 8, 2023"
AMZN231208C00131000,2023-12-08 10:42AM EST,131.0,15.11,15.6,15.75,-1.34,-8.15%,21,111,107.03%,Call,"December 8, 2023"
AMZN231208C00132000,2023-12-08 10:39AM EST,132.0,14.2,14.45,14.65,-0.63,-4.25%,77,210,93.75%,Call,"December 8, 2023"
AMZN231208C00133000,2023-12-08 10:26AM EST,133.0,13.81,13.55,13.75,0.01,+0.07%,18,432,88.28%,Call,"December 8, 2023"
AMZN231208C00134000,2023-12-08 10:46AM EST,134.0,12.38,12.45,12.6,-0.44,-3.43%,52,432,0.00%,Call,"December 8, 2023"
AMZN231208C00135000,2023-12-08 10:38AM EST,135.0,11.25,11.55,11.75,-0.5,-4.26%,22,704,76.56%,Call,"December 8, 2023"
AMZN231208C00136000,2023-12-08 10:40AM EST,136.0,10.18,10.5,10.65,0.1,+0.99%,152,709,70.31%,Call,"December 8, 2023"
AMZN231208C00137000,2023-12-08 10:35AM EST,137.0,9.45,9.55,9.7,-0.35,-3.57%,39,518,56.25%,Call,"December 8, 2023"
AMZN231208C00138000,2023-12-08 10:46AM EST,138.0,8.41,8.6,8.7,-0.34,-3.89%,78,680,58.59%,Call,"December 8, 2023"
AMZN231208C00139000,2023-12-08 10:50AM EST,139.0,7.55,7.5,7.6,-0.07,-0.92%,62,982,0.00%,Call,"December 8, 2023"
AMZN231208C00140000,2023-12-08 10:45AM EST,140.0,6.45,6.65,6.75,-0.16,-2.42%,282,1708,54.30%,Call,"December 8, 2023"
AMZN231208C00141000,2023-12-08 10:46AM EST,141.0,5.37,5.5,5.65,-0.47,-8.05%,183,1414,40.63%,Call,"December 8, 2023"
AMZN231208C00142000,2023-12-08 10:47AM EST,142.0,4.42,4.65,4.8,-0.38,-7.92%,102,2103,49.02%,Call,"December 8, 2023"
AMZN231208C00143000,2023-12-08 10:47AM EST,143.0,3.44,3.5,3.65,-0.46,-11.79%,363,2770,28.13%,Call,"December 8, 2023"
AMZN231208C00144000,2023-12-08 10:54AM EST,144.0,2.67,2.47,2.69,-0.28,-9.49%,984,5130,25.49%,Call,"December 8, 2023"
AMZN231208C00145000,2023-12-08 10:52AM EST,145.0,1.67,1.67,1.75,-0.48,-22.33%,3456,5657,21.39%,Call,"December 8, 2023"
AMZN231208C00146000,2023-12-08 10:54AM EST,146.0,0.9,0.85,0.88,-0.48,-34.78%,11021,7501,16.99%,Call,"December 8, 2023"
AMZN231208C00147000,2023-12-08 10:54AM EST,147.0,0.34,0.34,0.35,-0.55,-61.80%,16545,12141,16.99%,Call,"December 8, 2023"
AMZN231208C00148000,2023-12-08 10:53AM EST,148.0,0.1,0.08,0.09,-0.41,-80.39%,9570,12900,16.60%,Call,"December 8, 2023"
AMZN231208C00149000,2023-12-08 10:53AM EST,149.0,0.03,0.02,0.03,-0.24,-88.89%,6024,9795,18.75%,Call,"December 8, 2023"
AMZN231208C00150000,2023-12-08 10:53AM EST,150.0,0.02,0.01,0.02,-0.12,-85.71%,7101,18562,23.05%,Call,"December 8, 2023"
AMZN231208C00152500,2023-12-08 10:54AM EST,152.5,0.01,0.0,0.01,-0.02,-66.67%,568,10779,32.81%,Call,"December 8, 2023"
AMZN231208C00155000,2023-12-08 10:47AM EST,155.0,0.01,0.0,0.01,-0.01,-50.00%,229,8222,44.53%,Call,"December 8, 2023"
