Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
BABA231208C00040000,2023-10-30 11:09AM EST,40.0,43.74,34.7,34.9,0.0,-,1,1,"1,133.98%",Call,"December 8, 2023"
BABA231208C00050000,2023-12-07 11:02AM EST,50.0,22.25,22.2,22.25,0.0,-,1,44,304.69%,Call,"December 8, 2023"
BABA231208C00055000,2023-12-06 3:57PM EST,55.0,16.55,17.15,17.3,0.0,-,4,127,234.38%,Call,"December 8, 2023"
BABA231208C00060000,2023-12-07 2:09PM EST,60.0,12.25,12.15,12.25,0.0,-,4,25,140.63%,Call,"December 8, 2023"
BABA231208C00061000,2023-12-07 9:34AM EST,61.0,11.0,11.15,11.25,0.0,-,1,19,131.25%,Call,"December 8, 2023"
BABA231208C00062000,2023-12-05 3:59PM EST,62.0,10.25,10.1,10.25,0.0,-,-,3,153.13%,Call,"December 8, 2023"
BABA231208C00063000,2023-12-07 9:48AM EST,63.0,9.15,9.15,9.3,0.0,-,6,9,128.13%,Call,"December 8, 2023"
BABA231208C00064000,2023-12-07 10:20AM EST,64.0,8.25,8.15,8.35,0.0,-,1,1,125.78%,Call,"December 8, 2023"
BABA231208C00065000,2023-12-08 9:44AM EST,65.0,7.4,7.1,7.25,0.05,+0.68%,43,135,112.50%,Call,"December 8, 2023"
BABA231208C00066000,2023-12-07 2:18PM EST,66.0,6.3,6.1,6.25,0.0,-,15,56,98.83%,Call,"December 8, 2023"
BABA231208C00067000,2023-12-08 10:14AM EST,67.0,5.37,5.2,5.25,0.12,+2.29%,1,16,76.56%,Call,"December 8, 2023"
BABA231208C00068000,2023-12-08 10:46AM EST,68.0,4.2,4.2,4.3,-0.1,-2.33%,529,349,71.09%,Call,"December 8, 2023"
BABA231208C00069000,2023-12-08 10:53AM EST,69.0,3.2,3.2,3.25,-0.18,-5.33%,117,341,50.78%,Call,"December 8, 2023"
BABA231208C00070000,2023-12-08 10:54AM EST,70.0,2.28,2.14,2.25,-0.12,-5.00%,364,1258,42.58%,Call,"December 8, 2023"
BABA231208C00071000,2023-12-08 10:42AM EST,71.0,1.23,1.18,1.26,-0.22,-15.17%,319,1055,28.32%,Call,"December 8, 2023"
BABA231208C00072000,2023-12-08 10:56AM EST,72.0,0.29,0.32,0.35,-0.47,-61.84%,3404,7849,16.21%,Call,"December 8, 2023"
BABA231208C00073000,2023-12-08 10:56AM EST,73.0,0.04,0.04,0.05,-0.3,-88.24%,8132,9673,19.34%,Call,"December 8, 2023"
BABA231208C00074000,2023-12-08 10:48AM EST,74.0,0.01,0.01,0.02,-0.14,-93.33%,2463,9589,28.13%,Call,"December 8, 2023"
BABA231208C00075000,2023-12-08 10:55AM EST,75.0,0.01,0.0,0.01,-0.06,-85.71%,2171,9897,35.94%,Call,"December 8, 2023"
BABA231208C00076000,2023-12-08 10:33AM EST,76.0,0.01,0.0,0.01,-0.03,-75.00%,520,6524,45.31%,Call,"December 8, 2023"
BABA231208C00077000,2023-12-08 10:49AM EST,77.0,0.01,0.0,0.01,-0.01,-50.00%,249,5190,50.00%,Call,"December 8, 2023"
BABA231208C00078000,2023-12-08 10:39AM EST,78.0,0.01,0.0,0.01,-0.01,-50.00%,100,4771,59.38%,Call,"December 8, 2023"
BABA231208C00079000,2023-12-08 9:53AM EST,79.0,0.01,0.0,0.01,0.0,-,15,2201,68.75%,Call,"December 8, 2023"
BABA231208C00080000,2023-12-08 9:40AM EST,80.0,0.01,0.0,0.01,0.0,-,33,6850,75.00%,Call,"December 8, 2023"
BABA231208C00081000,2023-12-08 9:42AM EST,81.0,0.01,0.0,0.01,0.0,-,1,2404,84.38%,Call,"December 8, 2023"
BABA231208C00082000,2023-12-08 10:32AM EST,82.0,0.01,0.0,0.01,0.0,-,6,2317,93.75%,Call,"December 8, 2023"
BABA231208C00083000,2023-12-08 9:59AM EST,83.0,0.01,0.0,0.01,0.0,-,3,1384,100.00%,Call,"December 8, 2023"
BABA231208C00084000,2023-12-08 9:33AM EST,84.0,0.02,0.0,0.08,0.01,+100.00%,1,787,139.84%,Call,"December 8, 2023"
BABA231208C00085000,2023-12-08 9:50AM EST,85.0,0.01,0.0,0.01,-0.02,-66.67%,39,2412,115.63%,Call,"December 8, 2023"
BABA231208C00086000,2023-12-07 10:06AM EST,86.0,0.01,0.0,0.01,0.0,-,6,469,125.00%,Call,"December 8, 2023"
BABA231208C00087000,2023-12-08 10:26AM EST,87.0,0.01,0.0,0.01,0.0,-,5,603,131.25%,Call,"December 8, 2023"
BABA231208C00088000,2023-12-04 3:31PM EST,88.0,0.01,0.0,0.01,0.0,-,17,589,137.50%,Call,"December 8, 2023"
BABA231208C00089000,2023-12-07 3:18PM EST,89.0,0.01,0.0,0.75,0.0,-,2,1645,275.00%,Call,"December 8, 2023"
BABA231208C00090000,2023-12-06 3:53PM EST,90.0,0.01,0.0,0.01,0.0,-,22,1522,150.00%,Call,"December 8, 2023"
BABA231208C00091000,2023-12-04 11:06AM EST,91.0,0.01,0.0,0.01,0.0,-,8,202,156.25%,Call,"December 8, 2023"
BABA231208C00092000,2023-12-07 11:36AM EST,92.0,0.01,0.0,0.75,0.0,-,31,1037,307.03%,Call,"December 8, 2023"
