Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
GOOGL231208C00050000,2023-12-07 3:47PM EST,50.0,85.05,85.4,85.55,-1.65,-1.90%,2,6,904.69%,Call,"December 8, 2023"
GOOGL231208C00055000,2023-12-07 3:29PM EST,55.0,80.55,80.3,80.45,-1.6,-1.95%,1,1,764.84%,Call,"December 8, 2023"
GOOGL231208C00060000,2023-12-07 3:29PM EST,60.0,77.15,75.25,75.4,0.0,-,5,6,659.38%,Call,"December 8, 2023"
GOOGL231208C00080000,2023-12-05 10:06AM EST,80.0,50.5,55.0,55.85,0.0,-,1,1,489.06%,Call,"December 8, 2023"
GOOGL231208C00090000,2023-11-10 2:26PM EST,90.0,42.8,45.4,45.8,0.0,-,-,1,435.55%,Call,"December 8, 2023"
GOOGL231208C00095000,2023-12-07 9:57AM EST,95.0,42.54,40.25,40.8,0.0,-,2,2,370.31%,Call,"December 8, 2023"
GOOGL231208C00100000,2023-12-06 9:30AM EST,100.0,31.75,35.25,35.6,0.0,-,1,36,301.17%,Call,"December 8, 2023"
GOOGL231208C00105000,2023-12-07 3:04PM EST,105.0,29.95,30.25,30.55,-2.4,-7.42%,1,15,253.13%,Call,"December 8, 2023"
GOOGL231208C00110000,2023-12-07 10:03AM EST,110.0,26.83,25.2,25.9,0.0,-,1,4,239.84%,Call,"December 8, 2023"
GOOGL231208C00111000,2023-12-05 9:35AM EST,111.0,17.4,24.4,24.7,0.0,-,3,1,231.25%,Call,"December 8, 2023"
GOOGL231208C00112000,2023-12-06 1:06PM EST,112.0,18.4,23.3,23.65,0.0,-,1,1,211.13%,Call,"December 8, 2023"
GOOGL231208C00113000,2023-12-07 11:20AM EST,113.0,23.0,22.35,22.55,0.0,-,1,7,198.83%,Call,"December 8, 2023"
GOOGL231208C00114000,2023-12-07 3:42PM EST,114.0,22.8,21.3,21.65,0.0,-,18,20,194.53%,Call,"December 8, 2023"
GOOGL231208C00115000,2023-12-08 10:29AM EST,115.0,20.87,20.1,21.15,-0.7,-3.25%,1,8,206.45%,Call,"December 8, 2023"
GOOGL231208C00116000,2023-12-06 10:25AM EST,116.0,14.65,19.1,20.0,0.0,-,3,8,188.67%,Call,"December 8, 2023"
GOOGL231208C00117000,2023-12-07 3:42PM EST,117.0,19.8,18.35,19.05,0.0,-,3,26,196.88%,Call,"December 8, 2023"
GOOGL231208C00118000,2023-12-07 3:42PM EST,118.0,18.8,17.4,17.6,0.0,-,5,59,165.43%,Call,"December 8, 2023"
GOOGL231208C00119000,2023-12-07 9:30AM EST,119.0,16.85,16.4,16.75,0.0,-,2,7,166.02%,Call,"December 8, 2023"
GOOGL231208C00120000,2023-12-07 10:46AM EST,120.0,16.94,15.15,15.7,0.0,-,23,94,139.06%,Call,"December 8, 2023"
GOOGL231208C00121000,2023-12-08 10:50AM EST,121.0,14.17,14.4,14.6,-1.83,-11.44%,3,57,140.63%,Call,"December 8, 2023"
GOOGL231208C00122000,2023-12-06 10:06AM EST,122.0,9.27,13.4,13.95,0.0,-,7,39,149.80%,Call,"December 8, 2023"
GOOGL231208C00123000,2023-12-07 1:11PM EST,123.0,14.6,12.35,12.55,0.0,-,3,27,118.56%,Call,"December 8, 2023"
GOOGL231208C00124000,2023-12-07 9:35AM EST,124.0,13.34,11.35,11.55,0.0,-,5,180,110.55%,Call,"December 8, 2023"
GOOGL231208C00125000,2023-12-08 9:57AM EST,125.0,9.61,10.4,10.9,-3.4,-26.13%,20,440,120.70%,Call,"December 8, 2023"
GOOGL231208C00126000,2023-12-08 10:35AM EST,126.0,9.35,8.95,10.0,-1.53,-14.06%,6,57,96.88%,Call,"December 8, 2023"
GOOGL231208C00127000,2023-12-07 3:48PM EST,127.0,8.01,8.4,8.6,-1.69,-17.42%,2,450,90.63%,Call,"December 8, 2023"
GOOGL231208C00128000,2023-12-08 10:53AM EST,128.0,7.64,7.35,7.55,-1.34,-14.92%,32,1307,77.93%,Call,"December 8, 2023"
GOOGL231208C00129000,2023-12-08 10:35AM EST,129.0,6.27,6.2,6.7,-1.53,-19.62%,27,2195,69.53%,Call,"December 8, 2023"
GOOGL231208C00130000,2023-12-08 10:42AM EST,130.0,5.1,5.4,5.6,-1.68,-24.78%,127,3079,64.65%,Call,"December 8, 2023"
GOOGL231208C00131000,2023-12-08 10:48AM EST,131.0,4.18,4.4,4.8,-1.77,-29.75%,111,4993,61.72%,Call,"December 8, 2023"
GOOGL231208C00132000,2023-12-08 10:50AM EST,132.0,3.15,3.45,3.6,-1.9,-37.62%,1314,7573,51.86%,Call,"December 8, 2023"
GOOGL231208C00133000,2023-12-08 10:54AM EST,133.0,2.47,2.47,2.58,-1.63,-39.76%,6332,8753,40.43%,Call,"December 8, 2023"
GOOGL231208C00134000,2023-12-08 10:54AM EST,134.0,1.55,1.47,1.63,-1.45,-48.33%,8923,11325,31.35%,Call,"December 8, 2023"
GOOGL231208C00135000,2023-12-08 10:55AM EST,135.0,0.74,0.7,0.73,-1.53,-67.40%,19961,15626,21.58%,Call,"December 8, 2023"
GOOGL231208C00136000,2023-12-08 10:54AM EST,136.0,0.21,0.22,0.23,-1.34,-86.45%,34072,12753,18.65%,Call,"December 8, 2023"
GOOGL231208C00137000,2023-12-08 10:54AM EST,137.0,0.06,0.07,0.08,-0.91,-93.81%,12263,7935,20.51%,Call,"December 8, 2023"
GOOGL231208C00138000,2023-12-08 10:52AM EST,138.0,0.03,0.02,0.03,-0.55,-94.83%,3868,7046,22.85%,Call,"December 8, 2023"
GOOGL231208C00139000,2023-12-08 10:46AM EST,139.0,0.01,0.01,0.02,-0.33,-97.06%,2175,5839,27.34%,Call,"December 8, 2023"
GOOGL231208C00140000,2023-12-08 10:54AM EST,140.0,0.01,0.0,0.01,-0.18,-94.74%,2040,14353,29.69%,Call,"December 8, 2023"
GOOGL231208C00141000,2023-12-08 10:26AM EST,141.0,0.01,0.0,0.01,-0.09,-90.00%,83,2857,35.16%,Call,"December 8, 2023"
GOOGL231208C00142000,2023-12-08 10:09AM EST,142.0,0.01,0.0,0.01,-0.06,-85.71%,44,5122,40.63%,Call,"December 8, 2023"
GOOGL231208C00143000,2023-12-07 3:59PM EST,143.0,0.02,0.0,0.01,-0.02,-50.00%,1,960,45.31%,Call,"December 8, 2023"
GOOGL231208C00144000,2023-12-07 3:36PM EST,144.0,0.02,0.0,0.01,0.0,-,1698,1788,50.00%,Call,"December 8, 2023"
GOOGL231208C00145000,2023-12-08 9:59AM EST,145.0,0.01,0.0,0.01,-0.01,-50.00%,2,3785,50.00%,Call,"December 8, 2023"
GOOGL231208C00146000,2023-12-07 3:17PM EST,146.0,0.02,0.0,0.01,0.0,-,1687,1347,54.69%,Call,"December 8, 2023"
