Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
META231208C00020000,2023-12-07 3:59PM EST,20.0,306.45,309.5,309.7,0.0,-,80,83,0.00%,Call,"December 8, 2023"
META231208C00030000,2023-12-07 3:54PM EST,30.0,296.3,299.55,299.8,0.0,-,7,12,0.00%,Call,"December 8, 2023"
META231208C00040000,2023-12-07 10:04AM EST,40.0,281.3,289.55,289.85,0.0,-,21,26,0.00%,Call,"December 8, 2023"
META231208C00050000,2023-11-30 3:50PM EST,50.0,274.2,279.4,279.95,0.0,-,-,1,0.00%,Call,"December 8, 2023"
META231208C00070000,2023-11-22 10:12AM EST,70.0,270.5,259.45,259.9,0.0,-,1,0,0.00%,Call,"December 8, 2023"
META231208C00090000,2023-11-29 12:58PM EST,90.0,244.05,239.4,240.25,0.0,-,1,1,"1,014.06%",Call,"December 8, 2023"
META231208C00100000,2023-12-06 3:46PM EST,100.0,218.04,229.6,230.0,0.0,-,2,2,0.00%,Call,"December 8, 2023"
META231208C00110000,2023-12-07 9:57AM EST,110.0,212.57,219.45,219.9,0.0,-,5,1,0.00%,Call,"December 8, 2023"
META231208C00120000,2023-12-01 10:40AM EST,120.0,201.21,209.25,209.9,0.0,-,9,9,0.00%,Call,"December 8, 2023"
META231208C00130000,2023-12-08 10:45AM EST,130.0,199.17,199.6,200.1,7.49,+3.91%,7,44,643.75%,Call,"December 8, 2023"
META231208C00140000,2023-12-01 10:46AM EST,140.0,181.68,189.4,189.95,0.0,-,8,28,0.00%,Call,"December 8, 2023"
META231208C00150000,2023-11-29 12:29PM EST,150.0,183.9,179.3,180.05,0.0,-,1,1,468.75%,Call,"December 8, 2023"
META231208C00160000,2023-11-30 3:50PM EST,160.0,164.2,169.6,170.0,0.0,-,-,2,0.00%,Call,"December 8, 2023"
META231208C00170000,2023-12-07 9:35AM EST,170.0,151.83,159.35,159.95,0.0,-,4,9,0.00%,Call,"December 8, 2023"
META231208C00180000,2023-12-07 10:55AM EST,180.0,143.69,149.35,150.0,0.0,-,3,8,0.00%,Call,"December 8, 2023"
META231208C00185000,2023-12-04 10:24AM EST,185.0,130.93,144.45,144.85,0.0,-,5,5,0.00%,Call,"December 8, 2023"
META231208C00190000,2023-12-07 12:30PM EST,190.0,137.28,139.55,139.9,0.0,-,17,16,0.00%,Call,"December 8, 2023"
META231208C00195000,2023-12-04 3:33PM EST,195.0,124.6,134.15,134.9,0.0,-,10,0,0.00%,Call,"December 8, 2023"
META231208C00200000,2023-12-08 9:37AM EST,200.0,125.26,129.45,129.9,-1.68,-1.32%,2,5,0.00%,Call,"December 8, 2023"
META231208C00205000,2023-12-04 3:33PM EST,205.0,114.6,124.05,124.9,0.0,-,10,2,0.00%,Call,"December 8, 2023"
META231208C00210000,2023-12-04 12:31PM EST,210.0,109.23,119.6,120.05,0.0,-,14,0,275.00%,Call,"December 8, 2023"
META231208C00220000,2023-12-07 11:14AM EST,220.0,104.53,109.35,109.95,0.0,-,1,7,0.00%,Call,"December 8, 2023"
META231208C00225000,2023-12-07 11:56AM EST,225.0,101.67,104.25,105.1,0.0,-,1,1,282.03%,Call,"December 8, 2023"
META231208C00230000,2023-12-07 2:45PM EST,230.0,97.23,99.4,99.95,0.0,-,660,788,0.00%,Call,"December 8, 2023"
META231208C00235000,2023-12-04 3:36PM EST,235.0,84.65,94.55,95.1,0.0,-,20,23,253.13%,Call,"December 8, 2023"
META231208C00240000,2023-12-07 11:03AM EST,240.0,83.69,89.55,90.05,0.0,-,2,3,198.44%,Call,"December 8, 2023"
META231208C00245000,2023-12-07 3:14PM EST,245.0,82.05,84.45,84.85,0.0,-,1,21,0.00%,Call,"December 8, 2023"
META231208C00250000,2023-12-06 12:50PM EST,250.0,69.62,79.55,80.1,0.0,-,10,28,210.94%,Call,"December 8, 2023"
META231208C00255000,2023-12-04 3:35PM EST,255.0,64.8,74.6,74.95,0.0,-,20,21,0.00%,Call,"December 8, 2023"
META231208C00260000,2023-12-07 3:05PM EST,260.0,66.58,69.5,70.0,0.0,-,73,71,0.00%,Call,"December 8, 2023"
META231208C00265000,2023-12-05 12:37PM EST,265.0,52.54,64.5,65.25,0.0,-,2,25,201.17%,Call,"December 8, 2023"
META231208C00270000,2023-12-07 3:37PM EST,270.0,57.18,59.35,59.95,0.0,-,6,39,0.00%,Call,"December 8, 2023"
META231208C00275000,2023-12-07 3:59PM EST,275.0,51.68,54.6,54.95,0.0,-,6,137,0.00%,Call,"December 8, 2023"
META231208C00277500,2023-12-06 3:59PM EST,277.5,40.0,51.85,52.45,0.0,-,-,1,0.00%,Call,"December 8, 2023"
META231208C00280000,2023-12-08 9:41AM EST,280.0,46.08,49.4,49.95,-0.61,-1.31%,1,144,0.00%,Call,"December 8, 2023"
META231208C00282500,2023-12-07 2:50PM EST,282.5,44.3,46.95,47.4,0.0,-,1,1,0.00%,Call,"December 8, 2023"
META231208C00285000,2023-12-07 11:59AM EST,285.0,43.49,44.5,45.05,1.64,+3.92%,1,24,98.44%,Call,"December 8, 2023"
META231208C00287500,2023-12-06 10:15AM EST,287.5,32.4,42.1,42.8,0.0,-,-,4,139.84%,Call,"December 8, 2023"
META231208C00290000,2023-12-08 10:40AM EST,290.0,38.95,39.45,40.35,2.05,+5.56%,2,48,136.72%,Call,"December 8, 2023"
META231208C00292500,2023-12-05 2:25PM EST,292.5,25.4,37.05,37.5,0.0,-,4,8,0.00%,Call,"December 8, 2023"
META231208C00295000,2023-12-07 11:33AM EST,295.0,30.64,34.15,34.9,0.0,-,2,60,0.00%,Call,"December 8, 2023"
META231208C00297500,2023-12-08 10:44AM EST,297.5,31.8,32.0,32.35,3.98,+14.31%,1,26,0.00%,Call,"December 8, 2023"
META231208C00300000,2023-12-08 10:53AM EST,300.0,29.41,29.6,29.95,2.11,+7.73%,226,410,0.00%,Call,"December 8, 2023"
META231208C00302500,2023-12-08 9:46AM EST,302.5,24.0,27.1,27.6,-0.35,-1.44%,1,35,75.39%,Call,"December 8, 2023"
META231208C00305000,2023-12-08 10:55AM EST,305.0,24.8,24.2,24.9,2.57,+11.56%,7,156,0.00%,Call,"December 8, 2023"
META231208C00307500,2023-12-07 1:24PM EST,307.5,20.0,21.9,22.5,0.0,-,2571,823,0.00%,Call,"December 8, 2023"
META231208C00310000,2023-12-08 10:43AM EST,310.0,18.67,19.25,19.8,1.4,+8.11%,68,343,0.00%,Call,"December 8, 2023"
META231208C00312500,2023-12-08 10:37AM EST,312.5,17.2,17.1,17.5,2.9,+20.28%,46,1205,0.00%,Call,"December 8, 2023"
META231208C00315000,2023-12-08 10:37AM EST,315.0,13.9,14.35,14.9,2.03,+17.10%,69,1693,0.00%,Call,"December 8, 2023"
META231208C00317500,2023-12-08 10:51AM EST,317.5,12.0,11.9,12.65,2.55,+26.98%,1582,1904,41.80%,Call,"December 8, 2023"
META231208C00320000,2023-12-08 10:56AM EST,320.0,9.82,9.65,10.05,2.42,+32.70%,2244,3172,24.22%,Call,"December 8, 2023"
META231208C00322500,2023-12-08 10:47AM EST,322.5,6.76,7.2,7.5,1.66,+32.55%,2698,1760,0.00%,Call,"December 8, 2023"
META231208C00325000,2023-12-08 10:54AM EST,325.0,5.0,4.55,4.95,1.62,+47.93%,4797,6362,0.00%,Call,"December 8, 2023"
META231208C00327500,2023-12-08 10:54AM EST,327.5,2.75,2.5,2.62,0.87,+46.28%,9627,3037,11.04%,Call,"December 8, 2023"
META231208C00330000,2023-12-08 10:56AM EST,330.0,1.2,1.1,1.15,0.09,+8.11%,14788,9365,16.41%,Call,"December 8, 2023"
META231208C00332500,2023-12-08 10:55AM EST,332.5,0.44,0.35,0.38,-0.16,-26.67%,16541,5784,17.92%,Call,"December 8, 2023"
META231208C00335000,2023-12-08 10:55AM EST,335.0,0.13,0.13,0.15,-0.2,-60.61%,6415,5333,21.09%,Call,"December 8, 2023"
META231208C00337500,2023-12-08 10:49AM EST,337.5,0.04,0.04,0.06,-0.14,-77.78%,6610,6010,23.83%,Call,"December 8, 2023"
META231208C00340000,2023-12-08 10:51AM EST,340.0,0.03,0.03,0.04,-0.07,-70.00%,603,5180,28.13%,Call,"December 8, 2023"
META231208C00342500,2023-12-08 10:41AM EST,342.5,0.02,0.01,0.02,-0.05,-71.43%,746,2769,30.86%,Call,"December 8, 2023"
META231208C00345000,2023-12-08 10:36AM EST,345.0,0.01,0.01,0.02,-0.03,-75.00%,2017,5681,35.94%,Call,"December 8, 2023"
META231208C00347500,2023-12-08 10:37AM EST,347.5,0.01,0.01,0.02,-0.01,-50.00%,435,2240,41.02%,Call,"December 8, 2023"
META231208C00350000,2023-12-08 10:54AM EST,350.0,0.01,0.0,0.01,0.0,-,80,2782,42.19%,Call,"December 8, 2023"
META231208C00352500,2023-12-08 10:31AM EST,352.5,0.01,0.0,0.01,0.0,-,343,1949,46.88%,Call,"December 8, 2023"
META231208C00355000,2023-12-07 3:27PM EST,355.0,0.01,0.0,0.01,0.0,-,482,2921,51.56%,Call,"December 8, 2023"
META231208C00357500,2023-12-08 9:30AM EST,357.5,0.01,0.0,0.01,0.0,-,24,963,53.13%,Call,"December 8, 2023"
META231208C00360000,2023-12-07 3:36PM EST,360.0,0.01,0.0,0.01,0.0,-,37,3397,56.25%,Call,"December 8, 2023"
META231208C00362500,2023-12-07 10:51AM EST,362.5,0.01,0.0,0.01,0.0,-,40,660,60.94%,Call,"December 8, 2023"
