Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
MSFT231208C00170000,2023-12-06 3:54PM EST,170.0,198.95,203.05,203.25,0.0,-,2,11,707.62%,Call,"December 8, 2023"
MSFT231208C00180000,2023-12-05 3:54PM EST,180.0,192.15,192.8,193.0,0.0,-,-,1,608.98%,Call,"December 8, 2023"
MSFT231208C00190000,2023-12-07 3:55PM EST,190.0,180.95,182.8,183.0,0.0,-,6,3,567.19%,Call,"December 8, 2023"
MSFT231208C00210000,2023-11-01 10:13AM EST,210.0,135.35,163.3,166.35,0.0,-,2,1,680.66%,Call,"December 8, 2023"
MSFT231208C00235000,2023-11-14 3:16PM EST,235.0,135.42,137.6,138.35,0.0,-,6,11,415.04%,Call,"December 8, 2023"
MSFT231208C00240000,2023-12-04 1:22PM EST,240.0,128.7,132.0,133.25,0.0,-,20,12,303.13%,Call,"December 8, 2023"
MSFT231208C00245000,2023-12-08 10:28AM EST,245.0,128.04,127.45,128.45,0.64,+0.50%,1,1,377.93%,Call,"December 8, 2023"
MSFT231208C00250000,2023-12-05 1:06PM EST,250.0,122.55,122.9,123.4,0.0,-,2,20,386.72%,Call,"December 8, 2023"
MSFT231208C00260000,2023-12-06 1:58PM EST,260.0,110.19,111.4,113.2,0.0,-,1,1,358.40%,Call,"December 8, 2023"
MSFT231208C00265000,2023-11-27 1:42PM EST,265.0,115.1,107.65,108.8,0.0,-,6,23,344.34%,Call,"December 8, 2023"
MSFT231208C00270000,2023-12-07 3:59PM EST,270.0,100.95,102.4,103.25,0.0,-,1,17,282.03%,Call,"December 8, 2023"
MSFT231208C00275000,2023-12-06 1:45PM EST,275.0,94.69,97.4,98.25,0.0,-,1,7,267.58%,Call,"December 8, 2023"
MSFT231208C00280000,2023-12-04 3:54PM EST,280.0,89.45,92.05,93.55,0.0,-,1,1,249.81%,Call,"December 8, 2023"
MSFT231208C00285000,2023-11-22 9:55AM EST,285.0,92.0,87.45,88.55,0.0,-,1,2,260.74%,Call,"December 8, 2023"
MSFT231208C00290000,2023-11-29 10:04AM EST,290.0,91.08,82.1,83.2,0.0,-,1,0,191.41%,Call,"December 8, 2023"
