Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
TSLA231208C00020000,2023-12-07 3:54PM EST,20.0,222.6,223.8,224.05,0.0,-,46,56,"1,881.25%",Call,"December 8, 2023"
TSLA231208C00030000,2023-12-08 10:44AM EST,30.0,212.8,213.85,214.1,2.7,+1.29%,44,62,"1,393.75%",Call,"December 8, 2023"
TSLA231208C00040000,2023-12-06 12:51PM EST,40.0,205.25,203.8,204.05,0.0,-,1,2,"1,350.00%",Call,"December 8, 2023"
TSLA231208C00050000,2023-11-13 2:48PM EST,50.0,174.36,193.6,194.1,0.0,-,1,1,"1,235.94%",Call,"December 8, 2023"
TSLA231208C00080000,2023-12-07 3:17PM EST,80.0,161.45,163.65,164.35,0.0,-,6,6,787.50%,Call,"December 8, 2023"
TSLA231208C00090000,2023-12-07 10:43AM EST,90.0,151.25,153.75,154.25,0.0,-,1,2,709.38%,Call,"December 8, 2023"
TSLA231208C00100000,2023-12-07 3:16PM EST,100.0,141.45,143.5,144.1,0.0,-,10,6,712.50%,Call,"December 8, 2023"
TSLA231208C00105000,2023-12-07 3:17PM EST,105.0,136.45,138.75,139.3,0.0,-,6,15,628.13%,Call,"December 8, 2023"
TSLA231208C00110000,2023-12-07 3:31PM EST,110.0,132.05,133.7,134.3,0.0,-,31,46,573.44%,Call,"December 8, 2023"
TSLA231208C00115000,2023-12-07 11:59AM EST,115.0,127.33,128.8,129.35,0.0,-,22,4,595.31%,Call,"December 8, 2023"
TSLA231208C00120000,2023-12-08 9:44AM EST,120.0,123.3,123.8,124.3,2.07,+1.71%,1,9,550.00%,Call,"December 8, 2023"
TSLA231208C00125000,2023-12-07 3:16PM EST,125.0,116.45,118.7,119.1,0.0,-,17,4,545.31%,Call,"December 8, 2023"
TSLA231208C00130000,2023-12-07 3:31PM EST,130.0,112.0,113.65,114.3,0.0,-,31,38,434.38%,Call,"December 8, 2023"
TSLA231208C00135000,2023-12-08 9:59AM EST,135.0,107.07,108.65,109.3,-0.82,-0.76%,3,22,410.94%,Call,"December 8, 2023"
TSLA231208C00140000,2023-12-08 9:31AM EST,140.0,99.73,103.65,104.3,-2.62,-2.56%,147,161,387.50%,Call,"December 8, 2023"
TSLA231208C00145000,2023-12-08 10:54AM EST,145.0,99.09,98.65,99.3,1.29,+1.32%,6,13,365.63%,Call,"December 8, 2023"
TSLA231208C00150000,2023-12-08 9:57AM EST,150.0,91.75,93.6,94.1,0.32,+0.35%,4,21,408.59%,Call,"December 8, 2023"
TSLA231208C00155000,2023-12-08 10:34AM EST,155.0,88.67,88.6,89.25,-1.83,-2.02%,9,51,421.09%,Call,"December 8, 2023"
TSLA231208C00160000,2023-12-07 3:37PM EST,160.0,82.0,83.8,84.35,0.54,+0.66%,1,84,351.56%,Call,"December 8, 2023"
TSLA231208C00165000,2023-12-08 10:37AM EST,165.0,78.3,78.65,79.35,5.48,+7.53%,124,209,296.88%,Call,"December 8, 2023"
TSLA231208C00170000,2023-12-07 3:36PM EST,170.0,72.85,73.8,74.25,1.35,+1.89%,2,36,288.28%,Call,"December 8, 2023"
TSLA231208C00175000,2023-12-08 10:41AM EST,175.0,67.99,68.8,69.1,2.09,+3.17%,3,51,212.50%,Call,"December 8, 2023"
TSLA231208C00180000,2023-12-08 10:50AM EST,180.0,63.73,63.6,64.1,1.73,+2.79%,20,691,268.75%,Call,"December 8, 2023"
TSLA231208C00182500,2023-12-06 11:52AM EST,182.5,62.08,61.25,61.9,0.0,-,2,2,251.56%,Call,"December 8, 2023"
